dataset,location,param,depth,value,error,error_type,n_detect,n
cbrm_2017,KLY17-2,C_N/SINLAB,0.25,11.259952981867933,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,0.75,11.252489533596172,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,1.25,10.90249879523915,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,1.75,10.781543454829439,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,2.25,10.918646621725946,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,2.75,11.016737754725776,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,3.25,10.94463737906536,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,3.75,11.183192865587612,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,4.25,11.214963433159,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,4.75,11.60820267496432,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,5.25,11.685312996781697,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,5.75,11.785237178100317,0.0016969731956333512,sd,2,2
cbrm_2017,KLY17-2,C_N/SINLAB,6.25,11.920851407039269,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,6.75,11.807143786910643,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,7.25,11.699460677183563,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,7.75,11.91702226218742,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,8.25,11.985390808390608,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,8.75,12.172050527135298,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,9.25,12.398274794676933,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,9.75,13.671618363076266,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,10.25,13.8265107345116,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,11.25,12.479062637053303,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,12.25,12.719340746941848,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,13.25,12.618521788920592,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,14.25,12.502424707362405,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,15.25,12.423437463753372,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,16.25,12.223635893522937,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,17.25,11.619883746821085,0.047023793825198563,sd,2,2
cbrm_2017,KLY17-2,C_N/SINLAB,18.25,11.681275522862798,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,19.25,11.656477422960718,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,20.25,11.697628251944971,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,21.25,11.706862647266018,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,22.25,11.652281299791557,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,23.25,11.538650968690694,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,24.25,11.5511979104822,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,25.25,11.632733016757147,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,26.25,11.747382081529578,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,27.25,11.708917720202212,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,28.25,11.718375021631962,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,29.25,11.76939876572043,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,30.25,11.711012598883709,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,31.25,11.755395783273304,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,32.25,11.760313983928352,0.09673499581368687,sd,2,2
cbrm_2017,KLY17-2,C_N/SINLAB,33.25,11.820712107219105,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,34.25,11.826340619278847,,sd,1,1
cbrm_2017,KLY17-2,C_N/SINLAB,35.25,11.757175180147268,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,0.25,15.972800840092821,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,0.75,16.355757757947103,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,1.25,16.242645608165404,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,1.75,16.054866054196275,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,2.25,15.899941952912835,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,2.75,15.938975353583723,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,3.25,15.764010956176515,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,3.75,15.488446513974033,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,4.25,15.209701096289491,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,4.75,14.868420608917772,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,5.25,14.966328504896444,,sd,1,1
